Wednesday,Friday,Wednesday Close,Friday Close,Difference,Capital,Loss,Put Sold,Put Buy
2020-09-23,2020-09-25,305.375244140625,311.13934326171875,5.76409912109375,2000.0,0.0,302.32149169921877,297.32149169921877
2020-09-30,2020-10-02,316.9697265625,315.9758605957031,-0.993865966796875,4000.0,0.0,313.800029296875,308.800029296875
2020-10-07,2020-10-09,322.52557373046875,328.2896728515625,5.76409912109375,6000.0,0.0,319.3003179931641,314.3003179931641
2020-10-14,2020-10-16,329.31182861328125,328.7061767578125,-0.60565185546875,8000.0,0.0,326.0187103271484,321.0187103271484
2020-10-21,2020-10-23,324.39019775390625,327.2769470214844,2.886749267578125,10000.0,0.0,321.1462957763672,316.1462957763672
2020-10-28,2020-10-30,309.18011474609375,309.0665588378906,-0.113555908203125,12000.0,0.0,306.0883135986328,301.0883135986328
2020-11-04,2020-11-06,325.1568908691406,331.422607421875,6.265716552734375,14000.0,0.0,321.9053219604492,316.9053219604492
2020-11-11,2020-11-13,337.58428955078125,338.93768310546875,1.3533935546875,16000.0,0.0,334.20844665527346,329.20844665527346
2020-11-18,2020-11-20,337.21514892578125,336.3159484863281,-0.899200439453125,18000.0,0.0,333.84299743652343,328.84299743652343
2020-11-25,2020-11-27,343.253662109375,344.20965576171875,0.95599365234375,20000.0,0.0,339.82112548828127,334.82112548828127
2020-12-02,2020-12-04,347.1627502441406,350.0589599609375,2.896209716796875,22000.0,0.0,343.69112274169925,338.69112274169925
2020-12-09,2020-12-11,347.2195129394531,346.69891357421875,-0.520599365234375,24000.0,0.0,343.7473178100586,338.7473178100586
2020-12-16,2020-12-18,350.3618469238281,350.91424560546875,0.552398681640625,26000.0,0.0,346.85822845458983,341.85822845458983
2021-01-06,2021-01-08,355.0680236816406,362.3966369628906,7.32861328125,28000.0,0.0,351.51734344482423,346.51734344482423
2021-01-13,2021-01-15,360.9994201660156,357.1117248535156,-3.8876953125,27444.597778320258,555.4022216797421,357.3894259643555,352.3894259643555
2021-01-20,2021-01-22,364.8965148925781,363.93646240234375,-0.960052490234375,29444.597778320258,0.0,361.24754974365237,356.24754974365237
2021-01-27,2021-01-29,355.8855285644531,351.76025390625,-4.125274658203125,28311.75903320309,1132.8387451171693,352.3266732788086,347.3266732788086
2021-02-03,2021-02-05,362.9573974609375,368.5274963378906,5.570098876953125,30311.75903320309,0.0,359.3278234863281,354.3278234863281
2021-02-10,2021-02-12,370.78021240234375,373.213623046875,2.43341064453125,32311.75903320309,0.0,367.0724102783203,362.0724102783203
2021-02-17,2021-02-19,372.9759826660156,370.7326965332031,-2.2432861328125,34311.75903320309,0.0,369.2462228393555,364.2462228393555
2021-02-24,2021-02-26,372.38665771484375,361.5411071777344,-10.845550537109375,24311.75903320309,10000.0,368.6627911376953,363.6627911376953
2021-03-03,2021-03-05,362.5487365722656,364.64935302734375,2.100616455078125,26311.75903320309,0.0,358.92324920654295,353.92324920654295
2021-03-10,2021-03-12,370.3049621582031,374.5633239746094,4.25836181640625,28311.75903320309,0.0,366.6019125366211,361.6019125366211
2021-03-17,2021-03-19,377.6050109863281,371.4225158691406,-6.1824951171875,23498.869018554615,4812.890014648474,373.82896087646486,368.82896087646486
2021-03-24,2021-03-26,369.5533447265625,377.6210632324219,8.067718505859375,25498.869018554615,0.0,365.85781127929687,360.85781127929687
2021-04-07,2021-04-09,387.7392272949219,392.4119567871094,4.6727294921875,27498.869018554615,0.0,383.86183502197264,378.86183502197264
2021-04-14,2021-04-16,392.3738708496094,397.91448974609375,5.540618896484375,29498.869018554615,0.0,388.4501321411133,383.4501321411133
2021-04-21,2021-04-23,396.7796325683594,397.4185485839844,0.638916015625,31498.869018554615,0.0,392.8118362426758,387.8118362426758
2021-04-28,2021-04-30,398.0479736328125,397.95263671875,-0.0953369140625,33498.869018554615,0.0,394.0674938964844,389.0674938964844
2021-05-05,2021-05-07,396.4744567871094,402.54913330078125,6.074676513671875,35498.869018554615,0.0,392.5097122192383,387.5097122192383
