Date,Wednesday,Wednesday Open,Wednesday High,Wednesday Low,Wednesday Close,Wednesday Average
2020-09-23 00:00:00-04:00,2020-09-23 00:00:00-04:00,313.1932241336439,313.4771881823368,304.86413196062085,305.375244140625,309.17066007147884
2020-09-30 00:00:00-04:00,2020-09-30 00:00:00-04:00,315.2660289700218,320.18778350222146,315.0672743604929,316.9697265625,317.6275289313572
2020-10-07 00:00:00-04:00,2020-10-07 00:00:00-04:00,320.0268291162466,323.3490144696171,319.99843560401905,322.52557373046875,321.67372503681804
2020-10-14 00:00:00-04:00,2020-10-14 00:00:00-04:00,331.98093385913654,333.09778366798275,328.56412328684996,329.31182861328125,330.83095347741636
2020-10-21 00:00:00-04:00,2020-10-21 00:00:00-04:00,324.9580680679464,327.1728778309153,324.0778401966311,324.39019775390625,325.62535901377316
2020-10-28 00:00:00-04:00,2020-10-28 00:00:00-04:00,314.3290174589976,320.14991930582926,308.67847670788507,309.18011474609375,314.4141980068572
2020-11-04 00:00:00-05:00,2020-11-04 00:00:00-05:00,322.62027799339177,329.3214373546688,321.41824717062804,325.1568908691406,325.3698422626484
2020-11-11 00:00:00-05:00,2020-11-11 00:00:00-05:00,337.32871900044023,338.4266498536288,336.0604270367282,337.58428955078125,337.2435384451785
2020-11-18 00:00:00-05:00,2020-11-18 00:00:00-05:00,341.5973982561791,342.15582338144327,337.17728127258613,337.21514892578125,339.6665523270147
2020-11-25 00:00:00-05:00,2020-11-25 00:00:00-05:00,343.6985130402004,343.7269065513361,342.1368121586384,343.253662109375,342.9318593549873
2020-12-02 00:00:00-05:00,2020-12-02 00:00:00-05:00,345.29816553400434,347.32363721818456,344.71134690479846,347.1627502441406,346.0174920614915
2020-12-09 00:00:00-05:00,2020-12-09 00:00:00-05:00,351.03386264645354,351.194749609219,346.3676785734,347.2195129394531,348.7812140913095
2020-12-16 00:00:00-05:00,2020-12-16 00:00:00-05:00,350.03056999589217,351.29886179367224,349.1313938892878,350.3618469238281,350.21512784148
2020-12-23 00:00:00-05:00,2020-12-23 00:00:00-05:00,350.0588663890724,351.33256466365236,349.05131358966315,349.3840026855469,350.19193912665776
2020-12-30 00:00:00-05:00,2020-12-30 00:00:00-05:00,353.917955176164,354.6403623975462,353.1860624439646,353.58526611328125,353.91321242075537
2021-01-06 00:00:00-05:00,2021-01-06 00:00:00-05:00,351.41801710903906,358.3283411659054,350.8572117536114,355.0680236816406,354.5927764597584
2021-01-13 00:00:00-05:00,2021-01-13 00:00:00-05:00,359.95383824807726,362.0164585243132,359.15540178556506,360.9994201660156,360.5859301549391
2021-01-20 00:00:00-05:00,2021-01-20 00:00:00-05:00,362.25403146497985,365.75198032205145,361.8548278014753,364.8965148925781,363.8034040617634
2021-01-27 00:00:00-05:00,2021-01-27 00:00:00-05:00,361.4080681116719,361.5031262689359,353.6042778285016,355.8855285644531,357.5537020487187
2021-02-03 00:00:00-05:00,2021-02-03 00:00:00-05:00,363.5182028344857,364.71587170445196,361.6551849316184,362.9573974609375,363.18552831803515
2021-02-10 00:00:00-05:00,2021-02-10 00:00:00-05:00,372.719288560122,372.87137580854346,368.32787441477916,370.78021240234375,370.59962511166134
2021-02-17 00:00:00-05:00,2021-02-17 00:00:00-05:00,371.1034499467432,373.2326136044291,370.0673536589336,372.9759826660156,371.6499836316814
2021-02-24 00:00:00-05:00,2021-02-24 00:00:00-05:00,367.21580649110393,372.8239195002708,366.20825369456537,372.38665771484375,369.51608659741805
2021-03-03 00:00:00-05:00,2021-03-03 00:00:00-05:00,366.7025202039247,367.69104389592496,362.44416388872605,362.5487365722656,365.0676038923255
2021-03-10 00:00:00-05:00,2021-03-10 00:00:00-05:00,370.40953483560725,372.034922029223,368.9647494421352,370.3049621582031,370.4998357356791
2021-03-17 00:00:00-04:00,2021-03-17 00:00:00-04:00,375.0100711405243,378.42244735077975,373.8409166810061,377.6050109863281,376.1316820158929
2021-03-24 00:00:00-04:00,2021-03-24 00:00:00-04:00,372.87201146929243,374.54087597075346,369.50567452473854,369.5533447265625,372.023275247746
2021-03-31 00:00:00-04:00,2021-03-31 00:00:00-04:00,377.0107429305654,379.5474201353498,376.9821349926525,377.954833984375,378.2647775640012
2021-04-07 00:00:00-04:00,2021-04-07 00:00:00-04:00,387.1193691246785,388.09206829478245,386.6520963521808,387.7392272949219,387.37208232348166
2021-04-14 00:00:00-04:00,2021-04-14 00:00:00-04:00,393.68986518013764,394.76747941465857,391.8207452111384,392.3738708496094,393.2941123128985
2021-04-21 00:00:00-04:00,2021-04-21 00:00:00-04:00,392.4310515027659,396.98943380848374,392.2879827142444,396.7796325683594,394.63870826136406
2021-04-28 00:00:00-04:00,2021-04-28 00:00:00-04:00,398.43896819263784,399.5833439337211,397.57115525780847,398.0479736328125,398.5772495957648
2021-05-05 00:00:00-04:00,2021-05-05 00:00:00-04:00,398.0288892596853,398.2672984339409,395.9022689483594,396.4744567871094,397.08478369115016
2021-05-12 00:00:00-04:00,2021-05-12 00:00:00-04:00,392.16406466202096,393.460996717321,385.26926024551216,386.6138916015625,389.3651284814166
2021-05-19 00:00:00-04:00,2021-05-19 00:00:00-04:00,388.05385543531037,391.99235052622043,386.53754748497676,391.8111572265625,389.2649490055986
2021-05-26 00:00:00-04:00,2021-05-26 00:00:00-04:00,399.44979446877295,400.15547630436805,398.39127171538036,399.6405334472656,399.2733740098742
