Date,Wednesday,Wednesday Open,Wednesday High,Wednesday Low,Wednesday Close,Wednesday Average,Friday,Friday Open,Friday High,Friday Low,Friday Close,Friday Average,Avg Difference,Put Sold,Put Buy,Gain/Loss
2020-09-23 00:00:00-04:00,2020-09-23 00:00:00-04:00,313.1932554325094,313.47721950958015,304.86416242712113,305.3752746582031,309.17069096835064,2020-09-25 00:00:00-04:00,305.31841273123996,311.94383581414377,304.42873963389536,311.13934326171875,308.18628772401956,-0.9844032443310766,305.0,300.0,1000.0
2020-09-30 00:00:00-04:00,2020-09-30 00:00:00-04:00,315.26599861647423,320.1877526748115,315.06724402608126,316.9696960449219,317.6274983504464,2020-10-02 00:00:00-04:00,313.95041962953434,318.9762740172387,313.4677009860596,315.97589111328125,316.22198750164915,-1.4055108487972348,313.0,308.0,1000.0
2020-10-07 00:00:00-04:00,2020-10-07 00:00:00-04:00,320.0268291162466,323.3490144696171,319.99843560401905,322.52557373046875,321.67372503681804,2020-10-09 00:00:00-04:00,327.0687245163115,328.76294785175884,326.43459308495164,328.2897033691406,327.59877046835527,5.925045431537228,317.0,312.0,1000.0
2020-10-14 00:00:00-04:00,2020-10-14 00:00:00-04:00,331.98102615391497,333.09787627325915,328.56421463171307,329.3119201660156,330.83104545248614,2020-10-16 00:00:00-04:00,330.2867972310253,331.98102064859586,328.5263415349365,328.7061767578125,330.25368109176617,-0.5773643607199688,326.0,321.0,1000.0
2020-10-21 00:00:00-04:00,2020-10-21 00:00:00-04:00,324.9580986389479,327.1729086102789,324.0778706848236,324.3902282714844,325.6253896475513,2020-10-23 00:00:00-04:00,327.41894511747654,327.47573214884216,324.76878737190384,327.2769775390625,326.122259760373,0.496870112821739,321.0,316.0,1000.0
2020-10-28 00:00:00-04:00,2020-10-28 00:00:00-04:00,314.32898643319777,320.1498877054782,308.6784462398211,309.1800842285156,314.41416697264964,2020-10-30 00:00:00-04:00,310.7134099488329,312.0479629143606,305.3373593233335,309.0665283203125,308.692661118847,-5.7215058538026256,310.0,305.0,-1614.6777623059734
2020-11-04 00:00:00-05:00,2020-11-04 00:00:00-05:00,322.62021743438277,329.321375537786,321.41818683725205,325.1568298339844,325.36978118751904,2020-11-06 00:00:00-05:00,331.2048740455811,332.70034277414027,329.0468803773425,331.4225769042969,330.8736115757414,5.5038303882223545,321.0,316.0,1000.0
2020-11-11 00:00:00-05:00,2020-11-11 00:00:00-05:00,337.3286580114911,338.42658866617404,336.06036627708596,337.584228515625,337.24347747163,2020-11-13 00:00:00-05:00,336.2591033254303,339.6948626766501,335.72907184869354,338.93768310546875,337.7119672626718,0.46848979104180444,333.0,328.0,1000.0
2020-11-18 00:00:00-05:00,2020-11-18 00:00:00-05:00,341.5973364278459,342.1557614520364,337.17722024428383,337.215087890625,339.66649084816015,2020-11-20 00:00:00-05:00,338.3698117731914,338.5780405050492,336.2402115592342,336.31591796875,337.40912603214167,-2.2573648160184803,335.0,330.0,1000.0
2020-11-25 00:00:00-05:00,2020-11-25 00:00:00-05:00,343.69854359732875,343.72693711098884,342.136842576921,343.2536926269531,342.93188984395493,2020-11-27 00:00:00-05:00,344.3705427109582,344.69234549398817,343.1779573680142,344.20965576171875,343.93515143100115,1.003261587046211,338.0,333.0,1000.0
2020-12-02 00:00:00-05:00,2020-12-02 00:00:00-05:00,345.2981351803339,347.32360668646356,344.71131660271266,347.1627197265625,346.01746164458814,2020-12-04 00:00:00-05:00,347.66434396318834,350.0589599609375,347.5696892869447,350.0589599609375,348.8143246239411,2.796862979352966,341.0,336.0,1000.0
2020-12-09 00:00:00-05:00,2020-12-09 00:00:00-05:00,351.03386264645354,351.194749609219,346.3676785734,347.2195129394531,348.7812140913095,2020-12-11 00:00:00-05:00,345.3738043332649,347.1153404960658,343.821577510039,346.6988830566406,345.46845900305243,-3.312755088257063,344.0,339.0,1000.0
2020-12-16 00:00:00-05:00,2020-12-16 00:00:00-05:00,350.030630973338,351.29892299206216,349.13145471009165,350.3619079589844,350.2151888510769,2020-12-18 00:00:00-05:00,352.61578272543466,352.7868700318115,348.86120245863646,350.9143371582031,350.82403624522397,0.6088473941470625,345.0,340.0,1000.0
2020-12-23 00:00:00-05:00,2020-12-23 00:00:00-05:00,350.0588052360218,351.3325032880948,349.0512526126256,349.3839416503906,350.1918779503602,2021-01-08 00:00:00-05:00,361.7597733876098,362.61523882594304,358.44245530657554,362.3966369628906,360.5288470662593,10.33696911589908,345.0,340.0,1000.0
